w	mu_1	sigma_1	mu_2	sigma_2	logPrior	logL
7.94143220651044368097e-01	-1.19874535586407904297e+00	5.87742441368238277555e-01	-5.38382402806731108491e-01	3.59498909821483358940e-01	0.00000000000000000000e+00	-3.87334629242559021804e+04
5.74198904032409584985e-01	-3.91691088906981166318e+00	9.81128494651865135090e-01	-3.10711935432240382582e+00	8.58084300504764696527e-01	0.00000000000000000000e+00	-3.49928137510613305494e+04
6.97251546443670155995e-02	5.41705111694341123751e+00	3.37443875455642472438e-01	6.50751060307636208790e+00	7.10625610034140264837e-01	0.00000000000000000000e+00	-3.22396454481667351502e+04
5.74198904032409584985e-01	-3.91691088906981166318e+00	9.81128494651865135090e-01	-3.10711935432240382582e+00	8.58084300504764696527e-01	0.00000000000000000000e+00	-3.49928137510613305494e+04
9.29824097036228147672e-02	-2.79258161126302750787e+00	9.15189261298388956334e-01	-1.38179505463750240679e+00	3.45693281166767674151e-01	0.00000000000000000000e+00	-3.09395830954931370798e+04
6.45578204102641106665e-01	-1.72677980068013314785e+00	2.13818054628038156650e-01	6.98152178481934893028e+00	5.95391435303672778012e-01	0.00000000000000000000e+00	-3.09070562005773244891e+04
9.29824097036228147672e-02	-2.79258161126302750787e+00	9.15189261298388956334e-01	-1.38179505463750240679e+00	3.45693281166767674151e-01	0.00000000000000000000e+00	-3.09395830954931370798e+04
3.97002265550599975352e-01	-2.81900760139462347453e+00	2.32642872637216724385e-01	4.36368842247612143126e+00	2.90164532248089579447e-01	0.00000000000000000000e+00	-3.06963971102258583414e+04
8.91773453692457862552e-01	4.27168430428597911686e+00	4.46787558564276876538e-01	4.89185454108030182141e+00	2.33714331511751215176e-02	0.00000000000000000000e+00	-2.96822028940461314050e+04
3.97002265550599975352e-01	-2.81900760139462347453e+00	2.32642872637216724385e-01	4.36368842247612143126e+00	2.90164532248089579447e-01	0.00000000000000000000e+00	-3.06963971102258583414e+04
4.38377774230141806222e-02	3.00830003847938654005e+00	8.66807473135914330342e-02	6.51144683005048285906e+00	7.15980480783712125437e-01	0.00000000000000000000e+00	-2.88663511397293805203e+04
4.64758517159837902799e-01	-2.71699347277069724882e+00	8.89618604301152693381e-01	4.50153264779939554785e-01	1.63059948863822662402e-01	0.00000000000000000000e+00	-2.88079330179526950815e+04
4.38377774230141806222e-02	3.00830003847938654005e+00	8.66807473135914330342e-02	6.51144683005048285906e+00	7.15980480783712125437e-01	0.00000000000000000000e+00	-2.88663511397293805203e+04
6.37144156507677972279e-02	-3.26139618881814019602e+00	1.05255427858669858843e+00	3.94378978434541060949e-01	9.77677554700304707325e-02	0.00000000000000000000e+00	-2.78182261032367241569e+04
5.07044997428191757116e-01	-2.86897601495535869986e+00	7.23952536203769980716e-01	-1.03176104654673661543e+00	6.62084764713495976807e-01	0.00000000000000000000e+00	-2.71575390987907994713e+04
6.37144156507677972279e-02	-3.26139618881814019602e+00	1.05255427858669858843e+00	3.94378978434541060949e-01	9.77677554700304707325e-02	0.00000000000000000000e+00	-2.78182261032367241569e+04
4.53129284790265152161e-01	-1.76837017381906425051e+00	8.03722849574524889071e-01	1.52211440336547920715e+00	4.59690114549055062199e-02	0.00000000000000000000e+00	-2.52001916786190158746e+04
7.91302909219508965322e-02	-3.42845919604064919284e+00	1.09154376826099475117e+00	-7.82299438299572713618e-01	5.28944994484708441718e-01	0.00000000000000000000e+00	-2.43491604719259994454e+04
7.91302909219508965322e-02	-3.42845919604064919284e+00	1.09154376826099475117e+00	-7.82299438299572713618e-01	5.28944994484708441718e-01	0.00000000000000000000e+00	-2.43491604719259994454e+04
3.95659154645790545057e-01	-3.89542441637841818647e+00	1.16151501497041476085e+00	-2.62074604551470446978e+00	8.24742253779442768824e-01	0.00000000000000000000e+00	-2.38427646750528510893e+04
5.56635610436517325184e-01	-2.30067522722030926019e+00	6.03126123996930774140e-01	6.64250329994251487165e+00	5.02013205957928643208e-01	0.00000000000000000000e+00	-2.11302439406853554829e+04
5.56635610436517325184e-01	-2.30067522722030926019e+00	6.03126123996930774140e-01	6.64250329994251487165e+00	5.02013205957928643208e-01	0.00000000000000000000e+00	-2.11302439406853554829e+04
4.71738163058045903431e-02	-3.91900712206565993156e+00	1.34415776534317910063e+00	-1.15263543146484237489e+00	2.75556649098928407859e-01	0.00000000000000000000e+00	-2.03892133739010023419e+04
7.02837004855436431328e-01	-2.65277125076798014902e+00	1.01081814891459953465e-01	3.36517800967410130042e+00	3.61901055850075648035e-01	0.00000000000000000000e+00	-2.03406321123434390756e+04
7.02837004855436431328e-01	-2.65277125076798014902e+00	1.01081814891459953465e-01	3.36517800967410130042e+00	3.61901055850075648035e-01	0.00000000000000000000e+00	-2.03406321123434390756e+04
7.90354146934012097292e-02	-1.82882553197484898355e+00	8.02128832851768391876e-02	6.98135107722253867024e+00	8.67953034756729802091e-01	0.00000000000000000000e+00	-1.86362817121507105185e+04
5.55445706345371270629e-01	-2.33330445621100279752e+00	8.16948393657512261790e-02	-1.11365333670939237187e+00	7.91842908742083406715e-01	0.00000000000000000000e+00	-1.84122537192794334260e+04
7.90354146934012097292e-02	-1.82882553197484898355e+00	8.02128832851768391876e-02	6.98135107722253867024e+00	8.67953034756729802091e-01	0.00000000000000000000e+00	-1.86362817121507105185e+04
3.33249532025990335971e-01	3.90952283275104139904e+00	5.05851470982910500496e-01	5.37932098609273090517e+00	1.88980191756979276629e-01	0.00000000000000000000e+00	-1.78832523846815420256e+04
1.75161973332800924297e-01	3.31567811720738347958e+00	4.23438865268320030477e-01	5.06019559659496565018e+00	6.08607854834431361013e-01	0.00000000000000000000e+00	-1.69808540096616925439e+04
3.33249532025990335971e-01	3.90952283275104139904e+00	5.05851470982910500496e-01	5.37932098609273090517e+00	1.88980191756979276629e-01	0.00000000000000000000e+00	-1.78832523846815420256e+04
1.79858456689635459735e-01	2.42158165068384834129e+00	4.15886832480069301710e-01	5.50549195215063669195e+00	6.38840841657086766503e-02	0.00000000000000000000e+00	-1.68890165912472730270e+04
1.55475464761774206934e-01	1.68778412649160736159e+00	4.12298681426388369253e-01	6.65016434396886424452e+00	3.34749355590405583971e-01	0.00000000000000000000e+00	-1.60095728945382325037e+04
