# par_val d_par_plus d_par_minus
2.077272671309463303e-01 7.750304979086400370e-02 9.388796845709360128e-02
-7.598644827172676974e-01 3.799549670520456224e-01 3.363245723494522332e-01
1.184532869052364212e+00 2.110613277183579495e-01 1.865004823306050108e-01
1.695878020364868455e+00 1.024001290045793322e+00 9.230116482130560351e-01
1.472605524882624195e+00 3.517750699320358887e-01 3.833998079533846859e-01
3.656231052537068482e+00 1.035095343611351915e-01 7.846662181336183650e-02
9.165576698181282511e-01 5.943198533229010483e-02 7.971526804826090107e-02
2.568221284867137633e-01 9.905621704437622688e-02 1.314603215233951794e-01
