# par_val d_par_plus d_par_minus
2.121196226617770297e-01 6.941804819139008043e-02 1.005304735308842762e-01
-7.529027857024302994e-01 3.326206570931886097e-01 3.446323491843547027e-01
1.192689744688026243e+00 1.841165660651307157e-01 1.915893104548438419e-01
1.724208744535617344e+00 1.074586206998056293e+00 9.426175091369091152e-01
1.449541781931953599e+00 3.430690378280800701e-01 3.918979961776443144e-01
3.668150508500895857e+00 1.252588186956682392e-01 1.039267067011899748e-01
9.099296067676515554e-01 8.748209173270504735e-02 9.906267572583682401e-02
2.610295355515308002e-01 1.035126435384181032e-01 1.328262717397286075e-01
